pc,snes_lorom,asm,context_hex
01EB83,83:EB83,"LDA $0759,X",99 07 80 08 fe 59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20 c8 eb a9 20 8d 7d 03 80 03 9c 7d 03 60 bd 99 06 85 0f bd d9 06 85 10
01EB88,83:EB88,"LDA $0799,X",59 07 d0 03 fe 99 07 bd 59 07 85 09 bd 99 07 85 0a d0 0a 20 c8 eb a9 20 8d 7d 03 80 03 9c 7d 03 60 bd 99 06 85 0f bd d9 06 85 10 64 0d a9 39 38
01EB9D,83:EB9D,"LDA $0699,X",eb a9 20 8d 7d 03 80 03 9c 7d 03 60 bd 99 06 85 0f bd d9 06 85 10 64 0d a9 39 38 ed 7d 15 10 02 c6 0d eb a5 0d eb c2 20 0a 0a 0a 0a 69 70 00 38
028105,85:8105,"STA $0699,X",ad 68 12 9d 59 06 22 68 bb 80 29 0f 9d 99 06 20 92 81 60 ae 67 00 bc 19 06 9c 87 19 b7 98 f0 5b c8 85 0d b7 98 c8 85 0c bd 99 06 38 e5 0c 9d 99
028121,85:8121,"LDA $0699,X",b7 98 f0 5b c8 85 0d b7 98 c8 85 0c bd 99 06 38 e5 0c 9d 99 06 b0 e6 98 9d 19 06 a5 0d 8d 87 19 18 69 06 8d 6b 12 22 de 9b 84 22 da 9b 84 90 16
028127,85:8127,"STA $0699,X",0d b7 98 c8 85 0c bd 99 06 38 e5 0c 9d 99 06 b0 e6 98 9d 19 06 a5 0d 8d 87 19 18 69 06 8d 6b 12 22 de 9b 84 22 da 9b 84 90 16 22 e6 9b 84 22 e8
028ADA,85:8ADA,"LDA $0699,X",de 9b 84 ae 67 00 9e 99 06 ae 67 00 bd 99 06 aa 20 f9 b9 b0 2c 8d 20 16 c2 20 ad 97 19 85 1e e2 20 a0 01 b7 98 d0 08 a9 09 22 ac 86 85 80 06 a9
028B15,85:8B15,"LDA $0699,X",06 cd 68 12 d0 28 ae 67 00 fe 99 06 bd 99 06 c9 10 90 bb 22 e2 9b 84 20 b0 81 9c 97 19 9c 98 19 ce 68 12 a9 02 22 c7 9b 84 22 35 ad 80 6b 6b 20
02F316,85:F316,"LDA $0799,X",9c 9d 03 ae 67 00 bd 59 06 8d 79 03 bd 99 07 8d 7a 03 22 e8 ac 80 22 03 93 86 22 0f a3 80 22 46 93 86 22 e8 ac 80 a5 5b 89 02 f0 13 c2 20 a9 1a
02F37D,85:F37D,"STA $0699,X",9d 19 06 ad 79 03 9d 59 06 ad 9d 03 9d 99 06 ad 9e 03 9d d9 06 ad 77 03 9d 19 07 ad 73 03 9d 59 07 ad 7a 03 9d 99 07 ad 7e 03 9d d9 07 ad 7d 03
02F38F,85:F38F,"STA $0759,X",9d d9 06 ad 77 03 9d 19 07 ad 73 03 9d 59 07 ad 7a 03 9d 99 07 ad 7e 03 9d d9 07 ad 7d 03 9d 19 08 60 ae 67 00 bd 99 07 8d 7a 03 bd d9 07 8d 7e
02F395,85:F395,"STA $0799,X",9d 19 07 ad 73 03 9d 59 07 ad 7a 03 9d 99 07 ad 7e 03 9d d9 07 ad 7d 03 9d 19 08 60 ae 67 00 bd 99 07 8d 7a 03 bd d9 07 8d 7e 03 bd 19 08 8d 7d
02F3A8,85:F3A8,"LDA $0799,X",d9 07 ad 7d 03 9d 19 08 60 ae 67 00 bd 99 07 8d 7a 03 bd d9 07 8d 7e 03 bd 19 08 8d 7d 03 bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03
02F3C6,85:F3C6,"LDA $0699,X",bd 59 06 8d 79 03 bd 19 06 8d 76 03 bd 99 06 8d 9d 03 bd d9 06 8d 9e 03 bd 19 07 8d 77 03 22 74 a4 80 bd 59 07 8d 73 03 60 c2 20 a9 4c f4 85 0f
02F3DC,85:F3DC,"LDA $0759,X",9e 03 bd 19 07 8d 77 03 22 74 a4 80 bd 59 07 8d 73 03 60 c2 20 a9 4c f4 85 0f e2 20 22 bf ad 80 20 87 f4 22 e8 ac 80 20 ab f4 20 c5 f4 9c 93 1f
02FA08,85:FA08,"STA $0799,X",19 08 18 6d 9a 1f 8d 9a 1f ad 9b 1f 9d 99 07 ad 9c 1f 9d d9 07 ae 99 1f ad 68 00 9f 35 65 7e ee 99 1f 7a fa 60 a9 28 22 33 af 80 90 03 4c f4 fa
02FA7F,85:FA7F,"LDA $0699,X",bd 19 06 99 a7 0b bd 59 06 99 e7 0b bd 99 06 99 67 0c bd d9 06 99 a7 0c 22 e8 ac 80 bd 99 07 85 0f bd d9 07 85 10 a0 00 a9 00 11 0f c8 c0 04 90
02FA8F,85:FA8F,"LDA $0799,X",67 0c bd d9 06 99 a7 0c 22 e8 ac 80 bd 99 07 85 0f bd d9 07 85 10 a0 00 a9 00 11 0f c8 c0 04 90 f9 c9 00 f0 46 a0 00 a6 6a bd a7 0b 18 71 0f 9d
02FADB,85:FADB,"LDA $0799,X",a7 0c c8 b1 0f 22 e3 ac 80 ae 67 00 bd 99 07 18 69 05 9d 99 07 a9 00 7d d9 07 9d d9 07 80 a1 a5 6a 22 aa af 80 22 35 ad 80 6b 03 00 00 35 fb 03
