offset,snes,bpp,chunk_size,visual_score,font_score,face_score,map_score,nonblank_ratio,avg_nonzero,avg_entropy,avg_unique,duplicate_ratio
0x073000,8E:B000,2,0x1000,45.31,1.95,99.61,32.40,1.000,0.755,1.940,4.000,0.000
0x073000,8E:B000,4,0x1000,4.69,0.00,29.65,3.52,1.000,0.928,3.749,15.477,0.000
0x074000,8E:C000,2,0x1000,73.44,8.79,100.00,52.82,1.000,0.625,1.893,3.996,0.004
0x074000,8E:C000,4,0x1000,30.47,0.00,102.42,22.87,1.000,0.833,3.643,15.211,0.000
0x075000,8E:D000,2,0x1000,58.20,9.28,95.70,41.62,1.000,0.674,1.857,3.922,0.000
0x075000,8E:D000,4,0x1000,29.69,1.56,64.69,22.29,1.000,0.851,3.499,14.312,0.000
0x076000,8E:E000,2,0x1000,26.95,0.00,99.61,19.27,1.000,0.785,1.961,4.000,0.000
0x076000,8E:E000,4,0x1000,0.78,0.00,3.59,0.59,1.000,0.953,3.810,15.680,0.000
0x077000,8E:F000,2,0x1000,56.25,3.42,100.00,41.67,1.000,0.652,1.932,4.000,0.023
0x077000,8E:F000,4,0x1000,7.81,0.00,82.66,5.87,1.000,0.857,3.729,15.469,0.000
0x078000,8F:8000,2,0x1000,59.38,6.84,100.00,43.47,1.000,0.637,1.918,4.000,0.016
0x078000,8F:8000,4,0x1000,21.88,0.00,82.66,16.62,1.000,0.850,3.701,15.359,0.008
0x079000,8F:9000,2,0x1000,62.50,5.37,100.00,45.49,1.000,0.643,1.920,4.000,0.012
0x079000,8F:9000,4,0x1000,10.16,0.00,88.05,7.62,1.000,0.859,3.707,15.320,0.000
0x07A000,8F:A000,2,0x1000,64.06,7.32,100.00,46.36,1.000,0.646,1.913,4.000,0.008
0x07A000,8F:A000,4,0x1000,17.97,0.00,86.25,13.49,1.000,0.858,3.670,15.250,0.000
0x07B000,8F:B000,2,0x1000,63.28,4.39,99.61,45.25,1.000,0.651,1.918,4.000,0.000
0x07B000,8F:B000,4,0x1000,17.19,0.00,81.76,12.90,1.000,0.867,3.700,15.406,0.000
0x07C000,8F:C000,2,0x1000,68.75,8.30,100.00,49.16,1.000,0.637,1.908,4.000,0.000
0x07C000,8F:C000,4,0x1000,26.56,0.00,86.25,19.94,1.000,0.849,3.662,15.211,0.000
0x07D000,8F:D000,2,0x1000,70.70,11.23,100.00,50.86,1.000,0.625,1.902,4.000,0.004
0x07D000,8F:D000,4,0x1000,26.56,0.00,97.03,19.94,1.000,0.841,3.642,15.156,0.000
0x07E000,8F:E000,2,0x1000,62.89,8.30,100.00,44.97,1.000,0.650,1.916,4.000,0.000
0x07E000,8F:E000,4,0x1000,17.97,0.00,76.37,13.49,1.000,0.867,3.698,15.305,0.000
0x07F000,8F:F000,2,0x1000,55.47,1.95,100.00,39.66,1.000,0.667,1.933,4.000,0.000
