tile,tile_hex,count,palette,hflip,vflip,priority,vram_offset_if_charbase_8000_4bpp
532,0x214,4,3,0,1,1,0xC280
381,0x17D,4,3,0,1,0,0xAFA0
570,0x23A,4,3,0,1,0,0xC740
894,0x37E,4,3,0,1,1,0xEFC0
261,0x105,4,3,1,1,1,0xA0A0
383,0x17F,4,2,1,0,0,0xAFE0
119,0x077,4,2,0,1,0,0x8EE0
20,0x014,4,2,0,1,0,0x8280
306,0x132,4,3,0,1,1,0xA640
3,0x003,4,3,1,0,0,0x8060
305,0x131,4,2,1,0,0,0xA620
308,0x134,4,2,1,0,0,0xA680
825,0x339,4,4,0,1,0,0xE720
817,0x331,4,4,0,1,0,0xE620
876,0x36C,4,4,0,1,0,0xED80
638,0x27E,4,3,1,0,1,0xCFC0
291,0x123,4,2,1,0,0,0xA460
314,0x13A,4,3,1,1,0,0xA740
4,0x004,4,4,1,1,0,0x8080
570,0x23A,4,3,0,0,1,0xC740
773,0x305,4,4,0,0,0,0xE0A0
260,0x104,4,2,0,0,0,0xA080
532,0x214,4,4,0,0,0,0xC280
314,0x13A,4,2,0,1,0,0xA740
600,0x258,4,3,1,1,0,0xCB00
288,0x120,4,2,0,0,0,0xA400
515,0x203,4,2,1,0,1,0xC060
769,0x301,4,4,0,0,0,0xE020
532,0x214,4,3,1,1,1,0xC280
605,0x25D,4,3,1,1,1,0xCBA0
2,0x002,4,3,1,0,1,0x8040
3,0x003,4,3,1,0,1,0x8060
514,0x202,4,3,1,1,1,0xC040
620,0x26C,4,3,1,1,0,0xCD80
314,0x13A,4,3,0,0,0,0xA740
260,0x104,4,5,0,0,0,0xA080
260,0x104,4,5,1,0,0,0xA080
773,0x305,4,4,0,0,1,0xE0A0
560,0x230,4,3,0,0,0,0xC600
631,0x277,4,3,0,0,0,0xCEE0
259,0x103,4,5,0,1,1,0xA060
4,0x004,3,5,1,0,0,0x8080
5,0x005,3,3,0,1,1,0x80A0
621,0x26D,3,3,1,0,1,0xCDA0
601,0x259,3,3,1,0,1,0xCB20
602,0x25A,3,3,1,0,1,0xCB40
547,0x223,3,3,1,0,1,0xC460
631,0x277,3,2,1,0,0,0xCEE0
616,0x268,3,3,1,0,1,0xCD00
618,0x26A,3,3,1,0,1,0xCD40
619,0x26B,3,3,1,0,1,0xCD60
4,0x004,3,5,0,1,0,0x8080
261,0x105,3,3,1,1,0,0xA0A0
42,0x02A,3,5,0,1,0,0x8540
517,0x205,3,3,1,0,0,0xC0A0
788,0x314,3,5,0,1,1,0xE280
259,0x103,3,5,1,1,0,0xA060
877,0x36D,3,3,0,1,0,0xEDA0
341,0x155,3,2,1,0,0,0xAAA0
351,0x15F,3,2,1,0,0,0xABE0
4,0x004,3,3,1,0,0,0x8080
810,0x32A,3,3,0,1,1,0xE540
367,0x16F,3,3,0,1,1,0xADE0
90,0x05A,3,3,1,1,1,0x8B40
366,0x16E,3,3,0,1,1,0xADC0
110,0x06E,3,3,1,1,1,0x8DC0
367,0x16F,3,3,1,1,1,0xADE0
53,0x035,3,3,1,1,1,0x86A0
360,0x168,3,3,0,1,0,0xAD00
382,0x17E,3,3,0,1,0,0xAFC0
361,0x169,3,3,0,1,0,0xAD20
636,0x27C,3,3,0,1,0,0xCF80
893,0x37D,3,3,0,1,0,0xEFA0
382,0x17E,3,3,0,1,1,0xAFC0
861,0x35D,3,3,0,1,0,0xEBA0
514,0x202,3,2,1,1,1,0xC040
615,0x267,3,2,1,0,0,0xCCE0
569,0x239,3,2,1,0,0,0xC720
788,0x314,3,3,1,1,0,0xE280
342,0x156,3,2,1,0,0,0xAAC0
362,0x16A,3,2,1,0,0,0xAD40
260,0x104,3,3,1,1,1,0xA080
289,0x121,3,2,1,0,0,0xA420
72,0x048,3,2,0,1,0,0x8900
313,0x139,3,3,1,1,1,0xA720
517,0x205,3,3,0,1,1,0xC0A0
547,0x223,3,3,0,1,0,0xC460
563,0x233,3,3,0,1,0,0xC660
862,0x35E,3,3,0,1,1,0xEBC0
342,0x156,3,3,0,1,1,0xAAC0
893,0x37D,3,3,0,1,1,0xEFA0
103,0x067,3,2,0,1,0,0x8CE0
825,0x339,3,3,0,0,0,0xE720
838,0x346,3,3,0,0,0,0xE8C0
334,0x14E,3,3,1,0,0,0xA9C0
631,0x277,3,2,1,1,0,0xCEE0
862,0x35E,3,4,0,1,0,0xEBC0
809,0x329,3,4,0,1,0,0xE520
359,0x167,3,6,0,0,0,0xACE0
305,0x131,3,4,1,1,0,0xA620
261,0x105,3,6,0,0,0,0xA0A0
877,0x36D,3,4,0,1,0,0xEDA0
878,0x36E,3,4,0,1,0,0xEDC0
623,0x26F,3,2,1,1,0,0xCDE0
298,0x12A,3,6,0,0,0,0xA540
306,0x132,3,2,1,0,0,0xA640
598,0x256,3,3,1,0,1,0xCAC0
48,0x030,3,3,1,1,0,0x8600
818,0x332,3,3,0,1,0,0xE640
260,0x104,3,2,1,1,1,0xA080
532,0x214,3,3,0,0,0,0xC280
570,0x23A,3,3,0,0,0,0xC740
532,0x214,3,4,1,0,0,0xC280
546,0x222,3,3,1,1,0,0xC440
532,0x214,3,2,0,0,0,0xC280
4,0x004,3,2,1,0,0,0x8080
545,0x221,3,3,1,1,0,0xC420
554,0x22A,3,2,0,0,0,0xC540
590,0x24E,3,3,1,1,0,0xC9C0
787,0x313,3,2,1,0,0,0xE260
826,0x33A,3,2,1,0,1,0xE740
350,0x15E,3,2,0,1,1,0xABC0
582,0x246,3,3,1,0,1,0xC8C0
601,0x259,3,3,1,1,0,0xCB20
877,0x36D,3,3,1,1,0,0xEDA0
622,0x26E,3,3,1,1,0,0xCDC0
591,0x24F,3,3,1,1,0,0xC9E0
532,0x214,3,2,1,1,0,0xC280
606,0x25E,3,2,1,1,0,0xCBC0
289,0x121,3,2,0,0,0,0xA420
583,0x247,3,3,1,1,0,0xC8E0
257,0x101,3,2,0,1,1,0xA020
770,0x302,3,2,1,0,0,0xE040
283,0x11B,3,2,1,0,0,0xA360
261,0x105,3,3,1,0,0,0xA0A0
818,0x332,3,3,0,1,1,0xE640
604,0x25C,3,3,1,1,1,0xCB80
637,0x27D,3,3,1,1,1,0xCFA0
862,0x35E,3,4,0,0,1,0xEBC0
607,0x25F,3,3,1,1,1,0xCBE0
842,0x34A,3,4,0,0,1,0xE940
769,0x301,3,4,0,0,1,0xE020
513,0x201,3,3,1,1,1,0xC020
539,0x21B,3,3,1,1,0,0xC360
771,0x303,3,3,1,1,1,0xE060
621,0x26D,3,3,1,1,0,0xCDA0
788,0x314,3,4,0,0,1,0xE280
257,0x101,3,3,0,1,0,0xA020
810,0x32A,3,3,1,1,0,0xE540
554,0x22A,3,5,0,0,0,0xC540
259,0x103,3,2,1,1,1,0xA060
515,0x203,3,2,1,1,1,0xC060
810,0x32A,3,4,1,1,0,0xE540
516,0x204,3,5,1,0,0,0xC080
840,0x348,3,4,0,0,1,0xE900
328,0x148,3,5,1,0,0,0xA900
553,0x229,3,3,0,0,0,0xC520
615,0x267,3,3,0,0,0,0xCCE0
375,0x177,3,2,1,1,0,0xAEE0
530,0x212,3,5,0,0,0,0xC240
18,0x012,2,3,0,1,1,0x8240
359,0x167,2,5,0,0,0,0xACE0
600,0x258,2,3,1,0,1,0xCB00
366,0x16E,2,3,1,0,1,0xADC0
111,0x06F,2,3,1,0,1,0x8DE0
88,0x058,2,3,1,0,1,0x8B00
347,0x15B,2,3,1,0,1,0xAB60
359,0x167,2,3,1,0,1,0xACE0
615,0x267,2,3,1,0,1,0xCCE0
584,0x248,2,2,1,0,0,0xC900
636,0x27C,2,3,1,0,1,0xCF80
639,0x27F,2,3,1,0,1,0xCFE0
363,0x16B,2,2,0,1,1,0xAD60
383,0x17F,2,2,0,1,1,0xAFE0
42,0x02A,2,3,1,1,0,0x8540
844,0x34C,2,3,0,1,0,0xE980
375,0x177,2,2,0,1,0,0xAEE0
260,0x104,2,5,0,1,1,0xA080
605,0x25D,2,4,0,1,1,0xCBA0
862,0x35E,2,5,0,1,1,0xEBC0
826,0x33A,2,5,0,1,1,0xE740
570,0x23A,2,4,0,1,1,0xC740
314,0x13A,2,5,0,1,1,0xA740
