map_base,char_base,bpp,score,nonblank_ref_ratio,top_palette_ratio,top_attr_ratio,tile_unique,tile_repeat_ratio,h_or_v_flip_ratio,priority_ratio,pair_repeat_ratio,top_tiles,top_attrs
A000,0000,2,6.7615,1.0,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,0000,4,6.7615,1.0,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,2000,2,6.7615,1.0,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,2000,4,6.7615,1.0,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,4000,2,6.7615,1.0,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,4000,4,6.7586,0.998,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,6000,2,6.7586,0.998,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,6000,4,6.7542,0.9951,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
A000,C000,2,6.6722,0.9404,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
F800,0000,2,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,0000,4,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,2000,2,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,2000,4,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,4000,2,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,4000,4,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,6000,2,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,6000,4,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
F800,C000,2,6.3129,1.0,0.625,0.625,7,0.9932,0.0,0.625,0.9869,08F:640 000:342 002:13 001:13 003:8 004:4 005:4,p2r1h0v0:640 p4r0h0v0:372 p6r0h0v0:5 p5r0h0v0:5
A000,C000,4,6.1595,0.5986,0.9893,0.9834,86,0.916,0.002,0.0039,0.7157,000:396 0FF:54 0FE:38 078:28 0F3:26 0FC:25 0F0:25 0EF:24,p0r0h0v0:1007 p4r0h0v0:4 p0r1h0v0:4 p1r0h0v0:4
9000,0000,2,6.0225,1.0,0.6338,0.4336,13,0.9873,0.3115,0.2266,0.9698,0FF:703 2FF:139 1FF:104 3FF:62 341:4 300:3 302:2 342:2,p0r0h0v0:444 p0r0h1v0:63 p4r0h0v0:60 p0r0h0v1:40
9000,0000,4,6.0225,1.0,0.6338,0.4336,13,0.9873,0.3115,0.2266,0.9698,0FF:703 2FF:139 1FF:104 3FF:62 341:4 300:3 302:2 342:2,p0r0h0v0:444 p0r0h1v0:63 p4r0h0v0:60 p0r0h0v1:40
9000,2000,2,6.0225,1.0,0.6338,0.4336,13,0.9873,0.3115,0.2266,0.9698,0FF:703 2FF:139 1FF:104 3FF:62 341:4 300:3 302:2 342:2,p0r0h0v0:444 p0r0h1v0:63 p4r0h0v0:60 p0r0h0v1:40
9000,4000,2,6.0225,1.0,0.6338,0.4336,13,0.9873,0.3115,0.2266,0.9698,0FF:703 2FF:139 1FF:104 3FF:62 341:4 300:3 302:2 342:2,p0r0h0v0:444 p0r0h1v0:63 p4r0h0v0:60 p0r0h0v1:40
D000,0000,2,6.0119,1.0,0.8105,0.7227,116,0.8867,0.1543,0.1182,0.6966,000:558 0FF:42 0C0:29 080:24 001:18 002:15 060:12 0F8:11,p0r0h0v0:740 p1r0h0v0:30 p0r0h0v1:23 p0r0h1v0:23
D000,0000,4,6.0119,1.0,0.8105,0.7227,116,0.8867,0.1543,0.1182,0.6966,000:558 0FF:42 0C0:29 080:24 001:18 002:15 060:12 0F8:11,p0r0h0v0:740 p1r0h0v0:30 p0r0h0v1:23 p0r0h1v0:23
D000,2000,2,6.0119,1.0,0.8105,0.7227,116,0.8867,0.1543,0.1182,0.6966,000:558 0FF:42 0C0:29 080:24 001:18 002:15 060:12 0F8:11,p0r0h0v0:740 p1r0h0v0:30 p0r0h0v1:23 p0r0h1v0:23
D000,4000,2,6.0119,1.0,0.8105,0.7227,116,0.8867,0.1543,0.1182,0.6966,000:558 0FF:42 0C0:29 080:24 001:18 002:15 060:12 0F8:11,p0r0h0v0:740 p1r0h0v0:30 p0r0h0v1:23 p0r0h1v0:23
8000,8000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,8000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,A000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,E000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,E000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,8000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,8000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,A000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,E000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,E000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,8000,2,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,8000,4,5.9964,0.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
