subcode_dec,subcode_hex,table_addr,table_file_pc,entry_bytes,target_addr,target_file_pc_hirom,used_in_39847_399E5,first_rtl_offset_within_96,target_first16,target_first64
99,63,84:9D14,0x049D14,D5 ED 81,81:EDD5,0x01EDD5,0,50,22 D1 CD 80 C2 20 AD 64 03 8D BB 13 E2 20 AD 73,22 D1 CD 80 C2 20 AD 64 03 8D BB 13 E2 20 AD 73 15 8D 0B 03 AD 7D 15 38 ED 66 03 8D 0D 03 AD 66 03 0A 1A 8D 10 03 22 B0 D5 80 EE 0D 03 CE 10 03 D0 F4 6B A9 28 85 12 A9 FF 85 13 A9 02 85 15 A9
100,64,84:9D17,0x049D17,89 A4 81,81:A489,0x01A489,0,9,A9 10 1C 4F 15 22 D2 93 81 6B 5A DA 9C 1B 16 9C,A9 10 1C 4F 15 22 D2 93 81 6B 5A DA 9C 1B 16 9C 1C 16 A0 00 9C 1A 16 B9 69 15 F0 77 C9 17 B0 73 8D 20 16 AA CA BD 0A 18 30 69 89 07 F0 0A AD 57 15 29 03 D0 03 EE 1A 16 B9 0F 16 F0 0C 18 6D 1A
101,65,84:9D1A,0x049D1A,21 DD 84,84:DD21,0x04DD21,0,17,C2 20 A9 33 DD 85 0F E2 20 A9 38 85 0D 22 1E AC,C2 20 A9 33 DD 85 0F E2 20 A9 38 85 0D 22 1E AC 80 6B C2 20 A9 29 F4 85 3B E2 20 9C 56 03 9C 57 03 A9 15 8D 79 03 9C 7B 03 9C 8B 03 A9 FF 8D 8C 03 C2 20 A9 7D DE 85 0F E2 20 22 14 AC 80 C2 20
102,66,84:9D1D,0x049D1D,29 CE 80,80:CE29,0x00CE29,0,32,AD 9F 13 F0 0B 22 D1 CD 80 20 18 D5 22 4A CE 80,AD 9F 13 F0 0B 22 D1 CD 80 20 18 D5 22 4A CE 80 AD 9E 13 F0 0B 22 85 CD 80 20 0B D5 22 4A CE 80 6B DA 20 56 D5 20 F9 CE 20 82 D5 A2 0F AD 3C 11 F0 02 A2 3F 20 62 CF CE 12 03 CA 10 F7 22 0F A3
103,67,84:9D20,0x049D20,08 EE 81,81:EE08,0x01EE08,0,40,A9 28 85 12 A9 FF 85 13 A9 02 85 15 A9 01 85 16,A9 28 85 12 A9 FF 85 13 A9 02 85 15 A9 01 85 16 A9 02 85 14 A9 02 85 17 A9 10 85 18 64 19 A9 E0 85 1B 64 1C 22 BB DB 84 6B A9 81 22 3A 95 85 22 A8 82 81 6B DA AD 05 03 48 A9 83 8D 05 03 22 6E
104,68,84:9D23,0x049D23,31 EE 81,81:EE31,0x01EE31,0,10,A9 81 22 3A 95 85 22 A8 82 81 6B DA AD 05 03 48,A9 81 22 3A 95 85 22 A8 82 81 6B DA AD 05 03 48 A9 83 8D 05 03 22 6E A9 81 AD 34 19 89 01 08 22 02 95 85 28 F0 06 A9 D7 22 29 95 85 A9 50 22 3A 95 85 A2 00 BF 78 EE 81 F0 07 22 29 95 85 E8 80
105,69,84:9D26,0x049D26,3C EE 81,81:EE3C,0x01EE3C,0,59,DA AD 05 03 48 A9 83 8D 05 03 22 6E A9 81 AD 34,DA AD 05 03 48 A9 83 8D 05 03 22 6E A9 81 AD 34 19 89 01 08 22 02 95 85 28 F0 06 A9 D7 22 29 95 85 A9 50 22 3A 95 85 A2 00 BF 78 EE 81 F0 07 22 29 95 85 E8 80 F3 68 8D 05 03 FA 6B 83 5F D9 BE
106,6A,84:9D29,0x049D29,C1 F3 81,81:F3C1,0x01F3C1,0,89,8B 5A DA 4B AB 22 18 F0 84 90 46 22 A7 AC 81 22,8B 5A DA 4B AB 22 18 F0 84 90 46 22 A7 AC 81 22 A4 EF 84 8D 68 1D AC 68 1D C0 25 B0 34 AD 62 15 89 01 F0 02 A0 00 B9 C2 F5 0A 0A 0A A8 9C 9D 1F 22 68 BB 80 29 3F 38 F9 8A F5 30 06 EE 9D 1F C8
107,6B,84:9D2C,0x049D2C,7D EE 81,81:EE7D,0x01EE7D,0,20,20 A7 EE A9 20 8D 7D 03 A9 01 85 18 A9 02 85 1B,20 A7 EE A9 20 8D 7D 03 A9 01 85 18 A9 02 85 1B 22 A6 AF 83 6B 20 A7 EE A9 10 8D 7D 03 A9 78 85 18 A9 FE 85 1B 22 A6 AF 83 6B 22 DC EE 81 A9 1F 8D 79 03 9C 7A 03 A9 13 8D 7E 03 A9 13 8D 7B 03
108,6C,84:9D2F,0x049D2F,92 EE 81,81:EE92,0x01EE92,0,20,20 A7 EE A9 10 8D 7D 03 A9 78 85 18 A9 FE 85 1B,20 A7 EE A9 10 8D 7D 03 A9 78 85 18 A9 FE 85 1B 22 A6 AF 83 6B 22 DC EE 81 A9 1F 8D 79 03 9C 7A 03 A9 13 8D 7E 03 A9 13 8D 7B 03 9C 84 03 9C 85 03 A9 30 8D 86 03 A9 1F 8D 7F 03 9C 80 03 9C 81
109,6D,84:9D32,0x049D32,DC EE 81,81:EEDC,0x01EEDC,0,9,A9 48 1C 77 03 22 74 A4 80 6B 22 8A B3 85 AD 3C,A9 48 1C 77 03 22 74 A4 80 6B 22 8A B3 85 AD 3C 11 D0 13 C2 20 A9 1E EF 85 B9 E2 20 A9 81 85 BB 22 B8 AF 84 80 1B C2 20 A9 76 EF 85 B9 E2 20 A9 81 85 BB 22 B8 AF 84 22 0F A3 80 A9 A8 22 39 D1
110,6E,84:9D35,0x049D35,0F E1 84,84:E10F,0x04E10F,0,20,C2 20 A9 24 E1 85 0F E2 20 A9 10 85 0D 22 1E AC,C2 20 A9 24 E1 85 0F E2 20 A9 10 85 0D 22 1E AC 80 20 27 E2 6B C2 10 A2 00 00 A9 60 9F E5 55 7E E8 A9 00 9F E5 55 7E E8 9F E5 55 7E E8 A9 01 9F E5 55 7E E8 A9 00 9F E5 55 7E 9F 83 46 7E E8 9F
111,6F,84:9D38,0x049D38,B3 99 81,81:99B3,0x0199B3,0,6,AD D1 15 8D D3 15 6B AD CE 15 30 0F AD E3 12 0D,AD D1 15 8D D3 15 6B AD CE 15 30 0F AD E3 12 0D 66 12 0D 68 12 D0 04 22 04 BA 85 60 AD 1D 15 8D 73 15 8D C3 15 AD 1E 15 8D 7D 15 8D C4 15 AD 22 15 8D B8 13 8D B9 13 AD 21 15 8D 05 03 22 04 82
112,70,84:9D3B,0x049D3B,04 87 86,86:8704,0x068704,0,19,8B 5A DA 4B AB 64 06 A2 00 BD 69 15 F0 50 85 00,8B 5A DA 4B AB 64 06 A2 00 BD 69 15 F0 50 85 00 A0 00 B9 6B 87 F0 0D C5 00 F0 04 C8 C8 80 F3 B9 6C 87 80 04 A5 06 E6 06 0A A8 BD 69 15 C9 0C D0 02 A9 6A 8D 56 18 AD 73 15 18 79 74 87 8D 57 18
