rank,off,hex_off,bpp,score,nonzero_ratio,entropy,unique_byte_count,window_size
119,1812480,0x1BA800,2,2.394321996726889,0.9580078125,6.93348222381511,198,2048
120,1050624,0x100800,2,2.3938303532217087,0.97265625,7.053767825773669,222,2048
121,1058816,0x102800,2,2.393708619105305,0.9697265625,7.275450202842438,237,2048
122,294912,0x048000,2,2.3936148515330915,0.9814453125,6.709075062264729,203,2048
123,204800,0x032000,2,2.3933375790450526,0.96533203125,6.150216257360419,143,2048
124,1695744,0x19E000,2,2.392924697877531,0.966796875,7.41683508302025,246,2048
125,569344,0x08B000,4,2.3928310142223044,0.967041015625,7.538155926278435,256,4096
126,1937408,0x1D9000,2,2.392571363240333,0.96826171875,6.646430280922666,186,2048
127,1982464,0x1E4000,2,2.3923360781456426,0.97314453125,6.33595425016514,166,2048
128,516096,0x07E000,2,2.392328087822123,0.97265625,5.80424970257698,123,2048
129,1998848,0x1E8000,2,2.3923049265329834,0.9755859375,6.356408162263866,170,2048
130,1976320,0x1E2800,2,2.392200703659,0.98974609375,6.6856525042719985,210,2048
131,2011136,0x1EB000,2,2.391956768913249,0.9794921875,6.469247901305989,183,2048
132,2029568,0x1EF800,2,2.3918302755155487,0.98046875,6.2065172041243875,163,2048
133,1984512,0x1E4800,2,2.391377130187656,0.984375,6.206017041501247,167,2048
134,313344,0x04C800,2,2.391342442348687,0.9794921875,6.7643332887894925,207,2048
135,1880064,0x1CB000,2,2.3910616996787097,0.9638671875,6.5870873474296765,178,2048
136,1032192,0x0FC000,2,2.391049210484255,0.974609375,7.17058118387404,235,2048
137,2015232,0x1EC000,2,2.3908344298767124,0.97998046875,6.229409814013699,165,2048
138,139264,0x022000,2,2.3907961961830346,0.9501953125,5.936525819464276,113,2048
139,1904640,0x1D1000,4,2.3906883476882554,0.967041015625,6.858514594006042,203,4096
140,188416,0x02E000,2,2.390653997049956,0.97412109375,6.723278851399647,199,2048
141,1921024,0x1D5000,4,2.3905516365739676,0.97607421875,6.899022467591743,215,4096
142,1855488,0x1C5000,4,2.3901550241385983,0.966796875,6.907177693108786,207,4096
143,1992704,0x1E6800,2,2.38991748567793,0.98095703125,6.2103555104234385,165,2048
144,1794048,0x1B6000,4,2.389659608227966,0.97216796875,6.713761240823729,197,4096
145,1034240,0x0FC800,2,2.3895183892460197,0.97705078125,7.091537738968155,232,2048
146,1038336,0x0FD800,2,2.388965428308518,0.9755859375,7.142192176468147,235,2048
147,1957888,0x1DE000,4,2.3886872721992383,0.9736328125,6.713404427593907,199,4096
148,1908736,0x1D2000,4,2.388490190241925,0.968017578125,6.879210584435397,207,4096
149,651264,0x09F000,2,2.3884228291189262,0.97119140625,7.353085757951409,248,2048
150,145408,0x023800,2,2.388158053750476,0.9619140625,6.087295680003807,138,2048
151,495616,0x079000,2,2.3879519018391444,0.978515625,5.823927714713155,133,2048
152,1781760,0x1B3000,4,2.3876282449941297,0.973388671875,6.795361897453039,206,4096
153,1839104,0x1C1000,4,2.3871967535802776,0.97216796875,6.981558403642221,220,4096
154,1208320,0x127000,2,2.387153437156341,0.97216796875,7.406211872250728,254,2048
155,1882112,0x1CB800,2,2.3870735028280325,0.9638671875,6.41768177262426,167,2048
156,1857536,0x1C5800,2,2.386823546900301,0.96533203125,6.585604000202407,182,2048
157,378880,0x05C800,2,2.386618318917648,0.97802734375,6.794118426341185,211,2048
158,634880,0x09B000,2,2.3865854717536696,0.9697265625,7.3684650240293585,249,2048
159,1794048,0x1B6000,2,2.38657440136249,0.970703125,6.38165771089992,171,2048
160,1867776,0x1C8000,4,2.3865314612265953,0.96875,6.5297516898127625,181,4096
161,1071104,0x105800,2,2.386336736202682,0.96142578125,7.153584514621458,224,2048
162,520192,0x07F000,2,2.3861066640479915,0.96826171875,5.832212687383934,125,2048
163,1036288,0x0FD000,2,2.3856849281257944,0.97509765625,7.259307550006354,246,2048
164,526336,0x080800,2,2.385636941685747,0.98388671875,5.878454908485977,144,2048
165,165888,0x028800,2,2.385297890447454,0.98583984375,6.3398049985796305,183,2048
166,528384,0x081000,2,2.385191401669937,0.98876953125,5.366296838359497,108,2048
167,679936,0x0A6000,4,2.3849982447121354,0.966552734375,7.481353145197081,256,4096
168,501760,0x07A800,2,2.3849201258573878,0.97509765625,5.878189131859102,136,2048
169,249856,0x03D000,2,2.384764044905911,0.9853515625,6.616393609247289,205,2048
170,387072,0x05E800,2,2.384763830699907,0.9755859375,6.721079395599257,204,2048
171,98304,0x018000,2,2.3846531251281213,0.98583984375,6.597146876024974,204,2048
172,1978368,0x1E3000,2,2.3846444450203106,0.95751953125,6.511921185162485,170,2048
173,1036288,0x0FD000,4,2.384620129567658,0.975341796875,7.347859474041266,254,4096
174,217088,0x035000,2,2.384543478649989,0.96826171875,6.007207204199911,140,2048
175,102400,0x019000,2,2.384444309235513,0.97802734375,6.651726348884104,201,2048
176,251904,0x03D800,2,2.384440528152606,0.98095703125,6.65403985022085,204,2048
177,1019904,0x0F9000,2,2.383964819947281,0.970703125,7.21078105957825,239,2048
